Club,Average_Age,Average_potential,Highest_Paid_Player,Highest_Paid_Wage(Euros),Position,Total_Players,Country_with_most_players
1. FC Heidenheim 1846,24,72,M. Schnatterer,14,LM,28,Germany
1. FC Kaiserslautern,24,70,M. Albæk,4,LDM,26,Germany
1. FC Köln,24,77,J. Hector,26,LWB,28,Germany
1. FC Magdeburg,25,70,R. Brégerie,15,CB,26,Germany
1. FC Nürnberg,24,75,H. Behrens,24,RDM,29,Germany
1. FC Union Berlin,25,73,R. Žulj,25,CF,28,Germany
1. FSV Mainz 05,24,77,D. Latza,30,LCM,32,Germany
AC Ajaccio,27,70,C. Michelin,10,RB,23,France
AC Horsens,25,66,S. Heltne Nilsen,5,CDM,25,Denmark
AD Alcorcón,27,71,Casadesús,9,ST,29,Spain
ADO Den Haag,25,71,R. Kishna,32,LW,28,Netherlands
AEK Athens,25,75,André Simões,1,CM,28,Greece
AFC Wimbledon,24,67,B. Purrington,5,LB,26,England
AIK,26,70,T. Elyounoussi,10,LM,27,Sweden
AJ Auxerre,25,72,D. Mancini,11,CM,27,France
AS Béziers,26,66,M. Mostefa,4,RDM,26,France
AS Monaco,23,81,Falcao,115,RS,33,France
AS Nancy Lorraine,25,70,P. Sané,12,ST,30,France
AS Saint-�?tienne,25,75,T. Kolodziejczak,42,LB,24,France
AZ Alkmaar,23,77,D. Rotariu,14,RW,30,Netherlands
Aalborg BK,23,70,L. Andersen,11,LS,27,Denmark
Aarhus GF,24,68,P. Kanstrup,8,RCB,27,Denmark
Aberdeen,24,72,J. Wilson,29,ST,27,Scotland
Accrington Stanley,25,67,C. Ripley,14,GK,28,England
Adelaide United,24,68,M. Boland,4,LCM,25,Australia
Ajax,22,80,H. Ziyech,28,RAM,30,Netherlands
Akhisar Belediyespor,29,70,Josué,19,CAM,26,Turkey
Al Ahli,26,70,O. Al Soma,47,LS,30,Saudi Arabia
Al Batin,25,65,J. Arango,12,LS,30,Saudi Arabia
Al Faisaly,26,66,Rogerinho,18,CAM,30,Saudi Arabia
Al Fateh,25,66,M. Aguirregaray,22,RB,28,Saudi Arabia
Al Fayha,26,67,J. Gómez,18,CAM,28,Saudi Arabia
Al Hazem,26,65,Y. Kalfa,8,RM,30,Saudi Arabia
Al Hilal,27,72,B. Gomis,56,ST,30,Saudi Arabia
Al Ittihad,25,71,C. Villanueva,39,CAM,30,Saudi Arabia
Al Nassr,26,69,Giuliano,64,CAM,29,Saudi Arabia
Al Qadisiyah,25,68,�?lton,18,RW,30,Saudi Arabia
Al Raed,26,66,Y. El Ghanassy,16,LM,30,Saudi Arabia
Al Shabab,24,69,C. Budescu,32,LS,30,Saudi Arabia
Al Taawoun,26,66,Héldon,23,LM,29,Saudi Arabia
Al Wehda,25,69,T. Al Jassam,29,CAM,30,Saudi Arabia
Alanyaspor,27,72,J. Fernandes,16,LM,30,Turkey
Albacete BP,25,72,Aleix Febas,44,RDM,30,Spain
Alianza Petrolera,25,68,H. Henao,2,RDM,28,Colombia
Amiens SC,24,74,E. Krafth,21,RB,29,France
América FC (Minas Gerais),29,70,Melvin Parrela,20,LCM,20,Brazil
América de Cali,27,69,P. Franco,22,LCB,28,Colombia
Angers SCO,26,74,T. Mangani,23,CM,30,France
Antalyaspor,27,71,M. Erdinç,19,ST,30,Turkey
Argentinos Juniors,24,72,L. Pisculichi,12,CAM,28,Argentina
Arka Gdynia,25,66,"D. Zbozie�""",4,RB,27,Poland
Arsenal,25,81,P. Aubameyang,265,LM,33,England
Ascoli,25,70,S. Coly,6,ST,30,Italy
Aston Villa,25,74,Y. Bolasie,76,LM,30,England
Atalanta,25,78,M. Pašali�?,71,RCM,24,Italy
Athletic Club de Bilbao,25,79,Dani García,33,RCM,31,Spain
Atiker Konyaspor,27,72,O. �zahiner,18,RM,27,Turkey
Atlanta United,25,73,J. Martínez,14,LS,29,United States
Atlético Bucaramanga,26,69,S. Cárdenas,5,CAM,28,Colombia
Atlético Huila,24,69,M. Ordóñez,2,RCM,28,Colombia
Atlético Madrid,24,82,A. Griezmann,145,CAM,33,Spain
Atlético Mineiro,29,73,Louri Beretta,60,ST,20,Brazil
Atlético Nacional,25,74,D. Machado,11,LB,28,Colombia
Atlético Paranaense,30,70,Erick Gameira,15,ST,20,Brazil
Atlético Tucumán,28,71,R. Noir,15,LM,28,Argentina
Audax Italiano,24,71,M. Fernández,3,CB,28,Chile
BB Erzurumspor,27,67,S. Tshabalala,16,LM,25,Turkey
BK Häcken,25,68,Paulinho,5,LW,27,Sweden
BSC Young Boys,24,74,G. Hoarau,26,LS,24,Switzerland
Bahia,30,70,Emilio Piodão,13,RDM,20,Brazil
Barnsley,22,71,C. Woodrow,12,RS,28,England
Bayer 04 Leverkusen,24,81,L. Bender,82,RB,26,Germany
Beijing Renhe FC,27,63,B. Moukandjo,25,CAM,28,China PR
Beijing Sinobo Guoan FC,26,68,C. Bakambu,33,ST,28,China PR
Belgrano de Córdoba,25,71,M. Suárez,15,ST,27,Argentina
Benevento,27,72,F. Ricci,31,LW,25,Italy
Be�Yikta�Y JK,26,77,Quaresma,80,RM,28,Turkey
Birmingham City,25,72,Jota,21,RM,30,England
Blackburn Rovers,24,72,B. Dack,32,CAM,30,England
Blackpool,25,67,J. Dodoo,13,LS,28,England
Boavista FC,26,72,David Simão,9,LCM,27,Portugal
Boca Juniors,26,78,E. Cardona,39,LW,27,Argentina
Bohemian FC,21,64,D. Pender,1,RB,25,Republic of Ireland
Bologna,25,78,R. Orsolini,52,RW,28,Italy
Bolton Wanderers,27,69,J. Williams,23,RDM,30,England
Borussia Dortmund,23,82,M. Reus,100,LM,33,Germany
Borussia Mönchengladbach,24,80,L. Stindl,43,CF,30,Germany
Botafogo,30,71,Formosandrinho,26,RS,20,Brazil
Bournemouth,24,76,C. Wilson,77,ST,32,England
Boyacá Chicó FC,25,65,J. Muñoz,1,CM,28,Colombia
Bradford City,25,68,J. Payne,15,CAM,28,England
Bray Wanderers,22,63,R. Gorman,1,CB,23,Republic of Ireland
Brentford,23,74,O. Watkins,35,RW,30,England
Brescia,24,72,A. Mat�>jů,10,RB,30,Italy
Brighton & Hove Albion,25,76,G. Murray,51,ST,32,England
Brisbane Roar,27,68,E. Bauthéac,7,RM,23,Australia
Bristol City,24,73,F. Diedhiou,35,LS,30,England
Bristol Rovers,25,65,J. Bonham,4,GK,28,England
Brøndby IF,24,71,K. Wilczek,24,RS,27,Denmark
Burnley,26,74,S. Defour,65,LCM,33,England
Bursaspor,24,74,H. Saivet,36,CM,30,Turkey
Burton Albion,25,68,D. Cole,14,ST,28,England
Bury,26,66,N. Maynard,6,LS,28,England
CA Osasuna,26,73,Brandon Thomas,21,ST,25,Spain
CD Antofagasta,26,69,P. Becker,5,RM,28,Chile
CD Aves,27,71,Amilton,12,RW,28,Brazil
CD Everton de Viña del Mar,24,70,M. Bueno,11,ST,27,Chile
CD Feirense,27,71,Tiago Silva,11,CAM,26,Portugal
CD Huachipato,23,69,S. Martínez,7,CDM,27,Chile
CD Leganés,25,76,G. Carrillo,46,RS,33,Spain
CD Lugo,25,72,Cristian Herrera,8,LS,30,Spain
CD Nacional,25,73,F. Tissone,9,CDM,26,Brazil
CD Numancia,26,71,Fran Villalba,11,LCM,28,Spain
CD O'Higgins,24,71,N. Mazzola,7,ST,28,Chile
CD Palestino,26,70,B. Vidal,6,CB,28,Chile
CD Tenerife,25,73,Nano,12,ST,30,Spain
CD Tondela,25,72,Cláudio Ramos,6,GK,25,Portugal
CD Universidad de Concepción,28,70,S. Vittor,14,RCB,27,Chile
CF Rayo Majadahonda,26,72,Toni Martínez,16,ST,26,Spain
CF Reus Deportiu,24,71,S. Moore,6,RB,28,Spain
Cagliari,28,76,A. Cerri,54,ST,24,Italy
